1 [120, 41, 93]
1 [120, 41, 72]
1 [120, 93, 72]
1 [41, 93, 72]
1 [9, 165, 158]
1 [9, 165, 119]
1 [9, 158, 119]
1 [165, 158, 119]
1 [128, 81, 58]
1 [128, 81, 4]
1 [128, 58, 4]
1 [81, 58, 4]
1 [120, 131, 93]
1 [120, 131, 30]
1 [120, 93, 30]
1 [131, 93, 30]
1 [1, 98, 115]
1 [1, 98, 92]
1 [1, 115, 92]
1 [98, 115, 92]
1 [57, 11, 148]
1 [57, 11, 100]
1 [57, 148, 100]
1 [11, 148, 100]
1 [107, 52, 149]
1 [107, 52, 159]
1 [107, 149, 159]
1 [52, 149, 159]
1 [123, 92, 126]
1 [123, 92, 39]
1 [123, 126, 39]
1 [92, 126, 39]
1 [161, 143, 55]
1 [161, 143, 103]
1 [161, 55, 103]
1 [143, 55, 103]
1 [120, 41, 93]
1 [120, 41, 30]
1 [120, 93, 30]
1 [41, 93, 30]
1 [126, 123, 21]
1 [126, 123, 78]
1 [126, 21, 78]
1 [123, 21, 78]
1 [8, 82, 69]
1 [8, 82, 127]
1 [8, 69, 127]
1 [82, 69, 127]
1 [67, 21, 78]
1 [67, 21, 142]
1 [67, 78, 142]
1 [21, 78, 142]
1 [0, 138, 66]
1 [0, 138, 133]
1 [0, 66, 133]
1 [138, 66, 133]
1 [121, 130, 76]
1 [121, 130, 45]
1 [121, 76, 45]
1 [130, 76, 45]
1 [128, 81, 58]
1 [128, 81, 129]
1 [128, 58, 129]
1 [81, 58, 129]
1 [146, 75, 98]
1 [146, 75, 37]
1 [146, 98, 37]
1 [75, 98, 37]
1 [120, 72, 93]
1 [120, 72, 30]
1 [120, 93, 30]
1 [72, 93, 30]
1 [122, 99, 140]
1 [122, 99, 71]
1 [122, 140, 71]
1 [99, 140, 71]
1 [72, 120, 157]
1 [72, 120, 135]
1 [72, 157, 135]
1 [120, 157, 135]
1 [9, 63, 158]
1 [9, 63, 119]
1 [9, 158, 119]
1 [63, 158, 119]
1 [95, 74, 43]
1 [95, 74, 119]
1 [95, 43, 119]
1 [74, 43, 119]
1 [139, 109, 77]
1 [139, 109, 47]
1 [139, 77, 47]
1 [109, 77, 47]
1 [48, 154, 19]
1 [48, 154, 84]
1 [48, 19, 84]
1 [154, 19, 84]
1 [121, 130, 76]
1 [121, 130, 20]
1 [121, 76, 20]
1 [130, 76, 20]
1 [152, 59, 27]
1 [152, 59, 163]
1 [152, 27, 163]
1 [59, 27, 163]
1 [25, 91, 68]
1 [25, 91, 134]
1 [25, 68, 134]
1 [91, 68, 134]
1 [96, 73, 2]
1 [96, 73, 162]
1 [96, 2, 162]
1 [73, 2, 162]
1 [104, 28, 155]
1 [104, 28, 100]
1 [104, 155, 100]
1 [28, 155, 100]
1 [24, 156, 61]
1 [24, 156, 165]
1 [24, 61, 165]
1 [156, 61, 165]
1 [154, 19, 147]
1 [154, 19, 151]
1 [154, 147, 151]
1 [19, 147, 151]
1 [116, 83, 124]
1 [116, 83, 62]
1 [116, 124, 62]
1 [83, 124, 62]
1 [48, 80, 138]
1 [48, 80, 144]
1 [48, 138, 144]
